,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
209447,2023-12-12 02:00:00 EST,100.6,102.05,19,9,81,-9.9,-7.2,-12,24100,1,0,-6.4,-7.2,1.49E-15,4.71E-02,2023-12-13 03:00:00 EST
209507,2023-12-12 03:00:00 EST,100.64,102.09,21,6,80,-9.5,-6.7,-10,24100,7,0,-6.6,-7.5,1.19E-15,5.55E-02,3.44E-16
209567,2023-12-12 04:00:00 EST,100.59,102.04,14,7,79,-8.8,-5.7,-9,24100,8,0,-5.5,-7.1,1.23E-15,5.55E-02,1.11E-01
209627,2023-12-12 05:00:00 EST,100.52,101.97,15,9,78,-7.9,-4.6,-8,24100,8,0,-4.6,-5.7,4.54E-15,2.66E-02,
209687,2023-12-12 06:00:00 EST,100.54,101.99,20,16,80,-5.8,-2.7,-8,24100,8,0,-2.7,-4.6,2.30E-15,3.91E-02,
209747,2023-12-12 07:00:00 EST,100.56,102.01,21,18,79,-5.2,-2,-7,24100,8,0,-2,-2.7,2.02E-15,6.10E-02,
209807,2023-12-12 08:00:00 EST,100.51,101.96,18,13,73,-5.7,-1.4,-6,24100,8,5,-0.9,-2,2.00E-16,1.63E-01,
209867,2023-12-12 09:00:00 EST,100.5,101.94,19,15,73,-4.8,-0.6,-5,24100,4,198,-0.6,-1.9,2.29E-16,1.59E-01,
209927,2023-12-12 10:00:00 EST,100.43,101.87,19,21,74,-4.1,0,-5,24100,7,525,0,-1.2,2.00E-16,1.98E-01,
209987,2023-12-12 11:00:00 EST,100.3,101.74,21,29,71,-2.7,2.1,ERROR,24100,8,709,2.1,0,1.16E-16,2.20E-01,
210047,2023-12-12 12:00:00 EST,100.2,101.64,19,32,72,-2.2,2.4,ERROR,24100,8,398,2.5,2.1,2.18E-16,1.48E-01,
210107,2023-12-12 13:00:00 EST,100.22,101.66,20,28,74,-2.1,2.1,ERROR,24100,8,184,2.5,2.1,2.58E-16,1.36E-01,
210167,2023-12-12 14:00:00 EST,100.2,101.64,20,30,74,-2,2.1,ERROR,9700,8,179,2.2,2.1,6.53E-16,8.09E-02,
210227,2023-12-12 15:00:00 EST,100.24,101.68,21,25,74,-1.7,2.4,ERROR,16100,7,129,2.4,1.9,8.79E-16,6.55E-02,
210287,2023-12-12 16:00:00 EST,100.31,101.75,22,22,75,-1.4,2.6,ERROR,24100,8,21,2.6,2,6.15E-16,8.80E-02,
210347,2023-12-12 17:00:00 EST,100.44,101.88,24,34,89,-0.3,1.2,ERROR,16100,8,0,2.6,1.2,1.24E-15,5.44E-02,
210407,2023-12-12 18:00:00 EST,100.52,101.96,23,14,87,-0.8,1.2,ERROR,24100,7,0,2.6,1,2.18E-15,3.71E-02,
210467,2023-12-12 19:00:00 EST,100.58,102.02,22,14,86,-1.2,0.8,ERROR,24100,1,0,1.4,0.8,1.27E-15,5.91E-02,
210527,2023-12-12 20:00:00 EST,100.67,102.11,23,17,87,-1.7,0.2,ERROR,24100,4,0,0.7,0.1,1.11E-15,5.79E-02,
210587,2023-12-12 21:00:00 EST,100.76,102.2,23,18,77,-3.6,0,-5,24100,1,0,0.5,0,1.02E-15,6.57E-02,
210647,2023-12-12 22:00:00 EST,100.79,102.23,23,18,74,-4.4,-0.3,-5,24100,1,0,0,-0.6,1.30E-15,6.08E-02,
210707,2023-12-12 23:00:00 EST,100.86,102.3,24,18,75,-4.7,-0.8,-6,24100,3,0,-0.3,-0.9,1.12E-15,5.93E-02,
210767,2023-12-13 00:00:00 EST,100.87,102.31,22,21,74,-4.8,-0.7,-6,24100,7,0,-0.6,-1.1,9.32E-16,6.39E-02,
210827,2023-12-13 01:00:00 EST,100.92,102.36,25,22,68,-6.5,-1.4,-7,24100,1,0,-0.4,-1.4,1.01E-15,5.95E-02,
