,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
164387,2023-11-10 19:00:00 EST,100.39,101.81,30,25,84,0.3,2.8,ERROR,24100,8,0,3.3,2.8,1.27E-16,2.06E-01,6.29E-15,1.94E-02
164447,2023-11-10 20:00:00 EST,100.49,101.92,33,24,80,-1.7,1.4,ERROR,24100,8,0,3,1.4,9.86E-17,2.40E-01,,
164507,2023-11-10 21:00:00 EST,100.6,102.03,32,23,74,-3.2,0.9,ERROR,24100,8,0,1.4,0.9,2.63E-16,1.45E-01,,
164567,2023-11-10 22:00:00 EST,100.7,102.13,31,16,75,-4.2,-0.3,-5,24100,6,0,0.9,-0.3,6.49E-16,7.65E-02,,
164627,2023-11-10 23:00:00 EST,100.76,102.19,29,14,78,-4.8,-1.4,-6,24100,2,0,-0.3,-1.5,4.74E-16,9.27E-02,,
164687,2023-11-11 00:00:00 EST,100.82,102.25,31,13,79,-5.3,-2.2,-7,24100,4,0,-1.1,-2.2,5.24E-16,8.66E-02,,
164747,2023-11-11 01:00:00 EST,100.91,102.34,31,12,80,-5.2,-2.2,-6,24100,7,0,-1,-2.3,7.38E-16,7.06E-02,,
164807,2023-11-11 02:00:00 EST,100.98,102.42,29,14,81,-5.7,-2.8,-8,24100,3,0,-2.1,-2.9,7.82E-16,6.78E-02,,
164867,2023-11-11 03:00:00 EST,101.04,102.48,28,12,80,-6,-3.1,-8,24100,1,0,-2.5,-3.3,7.86E-16,6.75E-02,,
164927,2023-11-11 04:00:00 EST,101.09,102.53,30,13,82,-6.4,-3.8,-9,24100,1,0,-2.6,-3.8,8.44E-16,6.48E-02,,
164987,2023-11-11 05:00:00 EST,101.2,102.65,27,10,87,-6,-4.2,-8,24100,1,0,-3.5,-4.5,1.07E-15,5.64E-02,,
165047,2023-11-11 06:00:00 EST,101.25,102.7,28,11,87,-5.4,-3.6,-8,24100,1,0,-3.6,-5,1.02E-15,5.84E-02,,
