,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
236867,2023-12-31 03:00:00 EST,99.93,101.37,31,10,72,-9.1,-4.8,-9,24100,8,0,-4.8,-5,6.69E-16,7.47E-02,3.61E-16,1.11E-01
236927,2023-12-31 04:00:00 EST,99.97,101.41,29,16,71,-9.4,-4.9,-11,24100,8,0,-4.8,-4.9,7.72E-16,6.85E-02,6.56E-16,7.84E-02
236987,2023-12-31 05:00:00 EST,99.97,101.41,33,13,73,-9.3,-5.2,-10,24100,8,0,-4.9,-5.2,8.48E-16,6.53E-02,9.25E-16,6.37E-02
237047,2023-12-31 06:00:00 EST,100.02,101.46,30,11,71,-10.1,-5.6,-10,24100,8,0,-5.2,-5.6,1.10E-15,5.54E-02,3.16E-16,1.24E-01
237107,2023-12-31 07:00:00 EST,100.11,101.56,29,15,74,-9.8,-5.9,-12,24100,7,0,-5.6,-6,1.23E-15,5.23E-02,3.72E-16,1.12E-01
237167,2023-12-31 08:00:00 EST,100.15,101.6,26,13,75,-10.1,-6.4,-12,24100,7,2,-5.9,-6.6,1.50E-15,4.63E-02,1.09E-15,5.70E-02
237227,2023-12-31 09:00:00 EST,100.2,101.65,29,14,72,-10.8,-6.5,-12,24100,7,106,-6,-6.7,2.34E-15,3.53E-02,3.02E-15,3.54E-02
237287,2023-12-31 10:00:00 EST,100.23,101.68,33,21,70,-10.6,-6,-13,24100,7,502,-5.8,-6.5,2.92E-15,3.11E-02,5.38E-15,2.18E-02
237347,2023-12-31 11:00:00 EST,100.23,101.68,29,17,70,-10.4,-5.8,-12,24100,8,486,-5.6,-6.1,3.82E-15,2.63E-02,6.60E-15,1.89E-02
237407,2023-12-31 12:00:00 EST,100.21,101.66,29,13,68,-10.6,-5.6,-11,24100,8,463,-5.5,-6,3.71E-15,2.69E-02,5.24E-15,2.17E-02
237467,2023-12-31 13:00:00 EST,100.18,101.63,29,10,69,-10.1,-5.3,-10,24100,8,377,-5.3,-5.9,3.13E-15,2.96E-02,4.55E-15,2.39E-02
237527,2023-12-31 14:00:00 EST,100.19,101.64,29,13,69,-10.3,-5.4,-11,24100,8,347,-5.2,-5.7,2.32E-15,3.55E-02,2.42E-15,3.47E-02
237587,2023-12-31 15:00:00 EST,100.21,101.66,33,12,69,-10.3,-5.5,-10,24100,7,228,-5.2,-5.6,1.48E-15,4.75E-02,,
237647,2023-12-31 16:00:00 EST,100.28,101.73,33,8,69,-10.3,-5.5,-9,24100,7,88,-5.3,-5.6,8.04E-16,6.90E-02,,
237707,2023-12-31 17:00:00 EST,100.31,101.76,35,10,70,-10.2,-5.6,-10,24100,7,3,-5.5,-5.7,5.26E-16,9.03E-02,,
237767,2023-12-31 18:00:00 EST,100.32,101.77,33,3,67,-11.1,-6,-7,24100,5,0,-5.5,-6,4.24E-16,9.89E-02,,
237827,2023-12-31 19:00:00 EST,100.37,101.82,25,5,76,-10.3,-6.7,-9,24100,8,0,-5.9,-7.2,5.11E-16,9.15E-02,,
237887,2023-12-31 20:00:00 EST,100.35,101.8,30,7,76,-10.2,-6.6,-10,24100,7,0,-6.2,-6.9,8.45E-16,6.60E-02,,
237947,2023-12-31 21:00:00 EST,100.37,101.83,27,8,80,-10.9,-8,-12,24100,5,0,-6.6,-8,1.58E-15,4.62E-02,,
238007,2023-12-31 22:00:00 EST,100.38,101.84,29,7,82,-10.1,-7.5,-11,24100,6,0,-7,-8,9.84E-16,6.11E-02,,
238067,2023-12-31 23:00:00 EST,100.41,101.86,35,10,76,-10.2,-6.7,-11,24100,6,0,-6.6,-7.8,9.57E-16,6.09E-02,,
238127,2024-01-01 00:00:00 EST,100.4,101.85,35,10,77,-10.5,-7.2,-12,24100,6,0,-6.7,-7.2,1.53E-15,4.88E-02,,
238187,2024-01-01 01:00:00 EST,100.41,101.86,35,9,78,-10.8,-7.5,-12,24100,5,0,-7.2,-7.6,3.75E-16,1.16E-01,,
238247,2024-01-01 02:00:00 EST,100.45,101.91,35,18,76,-11.1,-7.5,-14,24100,3,0,-7.2,-7.6,3.36E-16,1.22E-01,,
