,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
156047,2023-11-05 01:00:00 EDT,100.4,101.82,14,4,80,-1.7,1.4,ERROR,24100,5,0,3.2,0.5,2.77E-15,3.32E-02,3.51E-15,2.99E-02
156107,2023-11-05 01:00:00 EST,100.38,101.8,33,8,88,0.2,2,ERROR,24100,8,0,2.1,0.8,1.39E-15,6.57E-02,1.01E-15,5.95E-02
156167,2023-11-05 02:00:00 EST,100.36,101.77,1,9,82,0.1,2.8,ERROR,24100,8,0,2.9,2,8.42E-16,6.85E-02,9.44E-16,6.23E-02
156227,2023-11-05 03:00:00 EST,100.37,101.78,34,16,70,-1.7,3.2,ERROR,24100,7,0,3.4,2.8,2.35E-15,3.72E-02,8.94E-16,6.34E-02
156287,2023-11-05 04:00:00 EST,100.34,101.76,33,7,78,-2.2,1.3,ERROR,24100,4,0,3.3,1.3,1.34E-15,5.04E-02,6.92E-16,7.66E-02
156347,2023-11-05 05:00:00 EST,100.4,101.82,33,10,76,-1.8,1.9,ERROR,24100,7,0,1.9,0.5,1.56E-15,4.52E-02,2.94E-16,1.24E-01
156407,2023-11-05 06:00:00 EST,100.44,101.86,30,10,77,-1.6,2,ERROR,24100,7,0,2.5,1.5,2.13E-15,3.72E-02,2.65E-16,1.31E-01
156467,2023-11-05 07:00:00 EST,100.48,101.91,28,7,93,-1.1,-0.1,-3,24100,7,1,1.9,-0.7,8.95E-16,6.68E-02,4.40E-16,9.98E-02
156527,2023-11-05 08:00:00 EST,100.54,101.97,29,9,82,-0.5,2.1,ERROR,24100,6,250,2.1,-0.5,1.68E-15,4.43E-02,6.54E-16,7.58E-02
156587,2023-11-05 09:00:00 EST,100.58,102,26,9,79,-0.6,2.6,ERROR,24100,6,380,2.6,1.8,3.71E-15,3.22E-02,3.79E-16,1.06E-01
156647,2023-11-05 10:00:00 EST,100.58,102,26,3,74,-1.2,3.1,ERROR,24100,6,415,3.1,2.5,1.21E-14,1.31E-02,,
156707,2023-11-05 11:00:00 EST,100.59,102.02,30,7,64,-0.7,5.4,ERROR,24100,6,1452,5.6,3.1,1.22E-14,1.32E-02,,
