,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
124067,2023-10-13 20:00:00 EDT,100.26,101.67,29,9,80,7.7,11,ERROR,24100,7,0,11.7,9.9,3.67E-15,2.72E-02,2.62E-15,3.48E-02
124127,2023-10-13 21:00:00 EDT,100.27,101.67,31,12,80,5.9,9.2,ERROR,24100,5,0,11.1,9.2,2.29E-15,3.90E-02,,
124187,2023-10-13 22:00:00 EDT,100.25,101.65,33,12,80,6.2,9.5,ERROR,24100,2,0,9.7,8,3.70E-15,2.73E-02,,
124247,2023-10-13 23:00:00 EDT,100.2,101.6,34,16,80,5.7,9,ERROR,24100,1,0,9.7,8.7,3.04E-15,3.15E-02,,
124307,2023-10-14 00:00:00 EDT,100.18,101.58,32,12,86,6.2,8.4,ERROR,24100,2,0,9.2,8,4.58E-15,2.40E-02,,
124367,2023-10-14 01:00:00 EDT,100.17,101.57,26,12,97,6.8,7.3,ERROR,24100,4,0,8.4,6.4,3.87E-15,2.69E-02,,
124427,2023-10-14 02:00:00 EDT,100.13,101.53,32,12,91,6.1,7.5,ERROR,24100,5,0,7.9,7.1,1.70E-15,4.46E-02,,
124487,2023-10-14 03:00:00 EDT,100.12,101.52,31,10,94,7,7.8,ERROR,24100,7,0,7.9,7,2.84E-15,3.17E-02,,
124547,2023-10-14 04:00:00 EDT,100.07,101.47,33,13,92,6,7.3,ERROR,24100,5,0,8.3,6.9,4.04E-15,2.71E-02,,
124607,2023-10-14 05:00:00 EDT,100.06,101.46,31,12,96,5.2,5.7,ERROR,24100,2,0,7.7,5.5,3.49E-15,2.79E-02,,
124667,2023-10-14 06:00:00 EDT,100.05,101.45,31,13,94,6.9,7.8,ERROR,24100,4,0,8,5.4,1.36E-15,5.17E-02,,
124727,2023-10-14 07:00:00 EDT,100.04,101.44,33,14,89,6.6,8.2,ERROR,24100,7,0,8.2,7.4,5.94E-16,8.49E-02,,
