,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
61487,2023-08-31 09:00:00 EDT,100.47,101.86,0,9,62,6.8,13.9,ERROR,24100,1,1161,13.9,11.4,1.05E-14,1.43E-02,2023-09-01 11:00:00 EDT
61547,2023-08-31 10:00:00 EDT,100.53,101.92,33,10,53,5.7,15.1,ERROR,24100,1,1792,15.3,13.8,1.32E-14,1.24E-02,1.25E-14
61607,2023-08-31 11:00:00 EDT,100.53,101.92,29,8,47,4.9,16.1,ERROR,24100,1,2339,16.3,15,1.52E-14,1.14E-02,1.28E-02
61667,2023-08-31 12:00:00 EDT,100.52,101.91,32,5,56,9.2,18.1,ERROR,24100,1,2866,18.1,16,1.52E-14,1.15E-02,
61727,2023-08-31 13:00:00 EDT,100.51,101.9,34,4,55,9.6,18.8,ERROR,24100,3,2959,19.1,17.8,1.45E-14,1.18E-02,
61787,2023-08-31 14:00:00 EDT,100.52,101.91,28,9,47,7.7,19.2,ERROR,24100,6,2968,20.2,18.8,1.12E-14,1.40E-02,
61847,2023-08-31 15:00:00 EDT,100.49,101.88,23,15,48,9.4,20.7,ERROR,24100,7,2321,20.7,19.2,1.04E-14,1.44E-02,
61907,2023-08-31 16:00:00 EDT,100.5,101.89,31,25,48,9.6,20.9,ERROR,24100,4,2009,21,19.8,7.28E-15,1.79E-02,
61967,2023-08-31 17:00:00 EDT,100.49,101.88,28,19,46,9.5,21.5,ERROR,24100,3,1860,21.6,20.6,3.50E-15,2.87E-02,
62027,2023-08-31 18:00:00 EDT,100.47,101.86,27,12,50,10.3,21.1,ERROR,24100,2,1055,21.6,21,8.98E-16,6.82E-02,
62087,2023-08-31 19:00:00 EDT,100.51,101.9,33,9,51,9.9,20.1,ERROR,24100,1,572,21.1,19.6,5.35E-16,9.28E-02,
62147,2023-08-31 20:00:00 EDT,100.56,101.96,21,4,73,10.2,15,ERROR,24100,1,48,20.1,15,1.46E-15,6.03E-02,
62207,2023-08-31 21:00:00 EDT,100.66,102.05,18,9,70,10.9,16.4,ERROR,24100,1,0,17.2,14.6,1.59E-15,4.83E-02,
62267,2023-08-31 22:00:00 EDT,100.72,102.11,36,2,77,11.2,15.1,ERROR,24100,1,0,16.4,12.9,1.34E-15,5.32E-02,
62327,2023-08-31 23:00:00 EDT,100.75,102.15,11,4,90,10.9,12.5,ERROR,24100,0,0,15.5,11.4,1.77E-15,4.26E-02,
62387,2023-09-01 00:00:00 EDT,100.82,102.22,16,4,91,9.8,11.3,ERROR,24100,0,0,14.2,9.9,1.22E-15,5.36E-02,
62447,2023-09-01 01:00:00 EDT,100.89,102.29,19,6,95,10.7,11.5,ERROR,24100,0,0,12,10.8,1.52E-15,4.64E-02,
62507,2023-09-01 02:00:00 EDT,100.92,102.32,25,3,100,11.2,11.3,ERROR,24100,0,0,11.3,10.1,1.17E-15,5.67E-02,
62567,2023-09-01 03:00:00 EDT,100.92,102.32,36,1,100,10,10,ERROR,24100,0,0,11.3,10,1.73E-15,4.43E-02,
62627,2023-09-01 04:00:00 EDT,100.95,102.34,30,3,100,11.1,11.1,ERROR,24100,0,0,11.2,10.1,2.30E-15,3.63E-02,
62687,2023-09-01 05:00:00 EDT,101,102.4,24,4,100,8.5,8.5,ERROR,24100,0,0,11.3,8.1,2.14E-15,3.73E-02,
62747,2023-09-01 06:00:00 EDT,101.03,102.43,29,7,100,10.7,10.7,ERROR,24100,0,0,10.7,8.3,1.84E-15,4.13E-02,
62807,2023-09-01 07:00:00 EDT,101.09,102.49,29,5,100,9.7,9.7,ERROR,24100,3,39,10.6,8.2,2.57E-15,3.51E-02,
62867,2023-09-01 08:00:00 EDT,101.15,102.55,31,4,100,13.7,13.7,ERROR,24100,1,413,13.7,9.7,5.45E-15,2.14E-02,
