,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
61787,2023-08-31 14:00:00 EDT,100.52,101.91,28,9,47,7.7,19.2,ERROR,24100,6,2968,20.2,18.8,1.12E-14,1.40E-02,2.14E-15,3.73E-02
61847,2023-08-31 15:00:00 EDT,100.49,101.88,23,15,48,9.4,20.7,ERROR,24100,7,2321,20.7,19.2,1.04E-14,1.44E-02,,
61907,2023-08-31 16:00:00 EDT,100.5,101.89,31,25,48,9.6,20.9,ERROR,24100,4,2009,21,19.8,7.28E-15,1.79E-02,,
61967,2023-08-31 17:00:00 EDT,100.49,101.88,28,19,46,9.5,21.5,ERROR,24100,3,1860,21.6,20.6,3.50E-15,2.87E-02,,
62027,2023-08-31 18:00:00 EDT,100.47,101.86,27,12,50,10.3,21.1,ERROR,24100,2,1055,21.6,21,8.98E-16,6.82E-02,,
62087,2023-08-31 19:00:00 EDT,100.51,101.9,33,9,51,9.9,20.1,ERROR,24100,1,572,21.1,19.6,5.35E-16,9.28E-02,,
62147,2023-08-31 20:00:00 EDT,100.56,101.96,21,4,73,10.2,15,ERROR,24100,1,48,20.1,15,1.46E-15,6.03E-02,,
62207,2023-08-31 21:00:00 EDT,100.66,102.05,18,9,70,10.9,16.4,ERROR,24100,1,0,17.2,14.6,1.59E-15,4.83E-02,,
62267,2023-08-31 22:00:00 EDT,100.72,102.11,36,2,77,11.2,15.1,ERROR,24100,1,0,16.4,12.9,1.34E-15,5.32E-02,,
62327,2023-08-31 23:00:00 EDT,100.75,102.15,11,4,90,10.9,12.5,ERROR,24100,0,0,15.5,11.4,1.77E-15,4.26E-02,,
62387,2023-09-01 00:00:00 EDT,100.82,102.22,16,4,91,9.8,11.3,ERROR,24100,0,0,14.2,9.9,1.22E-15,5.36E-02,,
62447,2023-09-01 01:00:00 EDT,100.89,102.29,19,6,95,10.7,11.5,ERROR,24100,0,0,12,10.8,1.52E-15,4.64E-02,,
