,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
248627,2024-01-08 07:00:00 EST,101.03,102.49,22,8,84,-8.2,-5.9,-10,24100,7,0,-5.9,-6.6,4.15E-16,1.14E-01,2.42E-16,1.40E-01
248687,2024-01-08 08:00:00 EST,101.17,102.63,26,9,85,-8.4,-6.2,-10,24100,7,3,-5.9,-6.3,5.87E-16,8.31E-02,,
248747,2024-01-08 09:00:00 EST,101.21,102.67,24,6,83,-8.1,-5.7,-9,24100,8,87,-5.7,-6.2,9.72E-16,6.20E-02,,
248807,2024-01-08 10:00:00 EST,101.3,102.76,25,8,81,-7.6,-4.9,-8,16100,8,245,-4.9,-5.7,1.72E-15,4.57E-02,,
248867,2024-01-08 11:00:00 EST,101.31,102.77,25,9,82,-6.4,-3.7,-7,19300,8,453,-3.7,-4.9,3.40E-15,2.84E-02,,
248927,2024-01-08 12:00:00 EST,101.28,102.74,30,11,78,-6.3,-3,-7,24100,8,744,-3,-3.7,3.82E-15,2.66E-02,,
248987,2024-01-08 13:00:00 EST,101.28,102.74,26,8,74,-6.3,-2.3,-5,24100,7,848,-2.3,-3,2.09E-15,3.90E-02,,
249047,2024-01-08 14:00:00 EST,101.33,102.79,26,14,71,-6.5,-2,-7,24100,7,702,-1.9,-2.3,9.75E-16,6.32E-02,,
249107,2024-01-08 15:00:00 EST,101.38,102.84,27,13,71,-6.7,-2.1,-7,24100,7,543,-1.9,-2.1,2.87E-16,1.31E-01,,
249167,2024-01-08 16:00:00 EST,101.43,102.89,25,10,74,-6.5,-2.4,-6,24100,7,188,-2,-2.4,2.24E-16,1.49E-01,,
249227,2024-01-08 17:00:00 EST,101.53,102.99,28,11,73,-6.5,-2.4,-6,24100,8,30,-2.2,-2.5,2.82E-16,1.34E-01,,
249287,2024-01-08 18:00:00 EST,101.51,102.97,32,8,74,-6.5,-2.5,-6,24100,8,0,-2.2,-2.7,5.25E-16,9.85E-02,,
