,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
180947,2023-11-22 07:00:00 EST,99.6,101.02,5,11,99,0.2,0.3,ERROR,4800,8,0,0.4,0.3,1.37E-15,4.86E-02,2023-11-23 00:00:00 EST
181007,2023-11-22 08:00:00 EST,99.59,101.01,5,12,99,0,0.2,ERROR,3200,7,16,0.4,0.2,1.44E-15,4.67E-02,2.37E-16
181067,2023-11-22 09:00:00 EST,99.53,100.95,7,8,99,0.4,0.6,ERROR,2400,5,107,0.6,0.2,1.51E-15,4.49E-02,1.48E-01
181127,2023-11-22 10:00:00 EST,99.45,100.87,7,8,99,0.6,0.7,ERROR,1600,2,204,0.7,0.3,1.59E-15,4.31E-02,
181187,2023-11-22 11:00:00 EST,99.41,100.83,4,9,99,0.9,1,ERROR,600,ERROR,323,1.1,0.7,1.66E-15,4.13E-02,
181247,2023-11-22 12:00:00 EST,99.38,100.8,2,7,99,0.8,1,ERROR,600,ERROR,214,1.1,0.8,1.73E-15,3.95E-02,
181307,2023-11-22 13:00:00 EST,99.33,100.75,1,9,99,1.2,1.3,ERROR,4000,7,308,1.4,0.9,1.52E-15,4.72E-02,
181367,2023-11-22 14:00:00 EST,99.29,100.7,35,8,99,1.4,1.5,ERROR,6400,8,297,1.6,1.3,2.29E-15,3.69E-02,
181427,2023-11-22 15:00:00 EST,99.29,100.7,33,8,99,1.4,1.5,ERROR,1600,ERROR,177,1.6,1.4,2.54E-15,3.76E-02,
181487,2023-11-22 16:00:00 EST,99.29,100.7,33,5,99,1.5,1.6,ERROR,1600,ERROR,106,1.7,1.4,5.24E-16,9.40E-02,
181547,2023-11-22 17:00:00 EST,99.29,100.7,31,7,99,1.4,1.5,ERROR,12900,8,9,1.7,1.4,1.34E-15,7.10E-02,
181607,2023-11-22 18:00:00 EST,99.32,100.73,28,8,99,1.4,1.6,ERROR,600,ERROR,0,1.7,1.4,1.79E-15,6.65E-02,
