,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
36527,2023-08-14 01:00:00 EDT,99.98,101.35,27,10,95,15.3,16.1,ERROR,24100,1,0,16.6,15.6,1.42E-15,4.76E-02,8.86E-15,1.62E-02
36587,2023-08-14 02:00:00 EDT,100,101.37,27,14,96,15.1,15.8,ERROR,24100,2,0,16.5,15.2,1.43E-15,4.74E-02,9.12E-15,1.59E-02
36647,2023-08-14 03:00:00 EDT,99.98,101.35,28,16,93,14.6,15.8,ERROR,24100,1,0,16,15.7,1.38E-15,4.93E-02,1.06E-14,1.43E-02
36707,2023-08-14 04:00:00 EDT,99.96,101.33,28,13,94,14.8,15.7,ERROR,24100,1,0,15.8,15.2,6.89E-16,7.59E-02,9.04E-15,1.57E-02
36767,2023-08-14 05:00:00 EDT,99.98,101.36,27,12,99,14.7,14.9,ERROR,24100,2,0,15.8,13.9,9.33E-16,6.33E-02,5.33E-15,2.20E-02
36827,2023-08-14 06:00:00 EDT,100,101.38,24,9,98,13.8,14.1,ERROR,24100,4,0,14.9,13.9,8.86E-16,7.22E-02,1.87E-15,4.41E-02
36887,2023-08-14 07:00:00 EDT,100.05,101.43,26,9,97,14.6,15.1,ERROR,24100,2,132,15.1,13.9,3.75E-15,2.86E-02,6.28E-16,7.80E-02
36947,2023-08-14 08:00:00 EDT,100.13,101.51,27,12,92,15.1,16.4,ERROR,24100,5,384,16.4,14.7,7.30E-15,1.78E-02,,
37007,2023-08-14 09:00:00 EDT,100.17,101.55,30,10,86,15,17.2,ERROR,24100,8,1013,17.7,15.2,1.09E-14,1.40E-02,,
37067,2023-08-14 10:00:00 EDT,100.18,101.56,27,14,84,14.6,17.2,ERROR,24100,7,1440,18,16.2,1.34E-14,1.24E-02,,
37127,2023-08-14 11:00:00 EDT,100.19,101.57,26,13,81,15.6,18.9,ERROR,24100,6,2378,18.9,17.4,1.22E-14,1.32E-02,,
37187,2023-08-14 12:00:00 EDT,100.17,101.55,27,17,73,15.4,20.2,ERROR,24100,6,2908,20.5,17.9,1.00E-14,1.48E-02,,
