,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
25547,2023-08-06 10:00:00 EDT,100.35,101.73,36,2,63,14.2,21.6,ERROR,24100,1,2053,21.9,19.7,1.26E-14,1.28E-02,1.84E-15,4.39E-02
25607,2023-08-06 11:00:00 EDT,100.31,101.68,32,9,52,13.3,23.5,ERROR,24100,2,2610,23.8,21.8,1.16E-14,1.35E-02,1.92E-15,4.27E-02
25667,2023-08-06 12:00:00 EDT,100.26,101.63,27,9,51,13.9,24.4,ERROR,24100,4,3016,24.7,23.4,1.11E-14,1.41E-02,1.98E-15,3.97E-02
25727,2023-08-06 13:00:00 EDT,100.23,101.6,35,7,40,11.3,25.7,ERROR,24100,5,2999,25.8,24.4,1.32E-14,1.24E-02,2.07E-15,3.96E-02
25787,2023-08-06 14:00:00 EDT,100.23,101.6,21,9,45,13,25.6,ERROR,24100,6,3353,26,24.3,1.23E-14,1.30E-02,1.87E-15,4.15E-02
25847,2023-08-06 15:00:00 EDT,100.18,101.55,23,6,43,12.8,26.3,ERROR,24100,6,3158,26.5,25.5,1.16E-14,1.35E-02,1.04E-15,5.80E-02
25907,2023-08-06 16:00:00 EDT,100.15,101.52,36,3,36,10.7,26.6,ERROR,24100,6,2494,26.6,25.7,6.90E-15,1.89E-02,9.32E-16,6.22E-02
25967,2023-08-06 17:00:00 EDT,100.14,101.51,23,7,41,11.5,25.5,ERROR,24100,7,1845,26.7,25.1,2.71E-15,3.35E-02,1.39E-15,4.85E-02
26027,2023-08-06 18:00:00 EDT,100.11,101.48,20,4,58,16.1,24.9,ERROR,24100,7,1030,26.1,24.9,9.79E-16,6.12E-02,,
26087,2023-08-06 19:00:00 EDT,100.08,101.45,19,3,68,17.5,23.6,ERROR,24100,7,491,25.2,23.4,1.05E-15,6.00E-02,,
26147,2023-08-06 20:00:00 EDT,100.06,101.43,12,7,71,16.1,21.5,ERROR,24100,7,208,24.1,21.4,2.41E-15,3.55E-02,,
26207,2023-08-06 21:00:00 EDT,100.06,101.43,9,7,64,14.3,21.3,ERROR,24100,6,7,21.6,20,3.09E-15,2.99E-02,,
