,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
281387,2024-01-31 01:00:00 EST,100.56,102.02,6,12,72,-11.8,-7.5,-13,24100,8,0,-7.1,-7.5,6.94E-16,7.39E-02,2024-01-31 14:00:00 EST
281447,2024-01-31 02:00:00 EST,100.59,102.05,5,12,77,-11.1,-7.7,-13,19300,8,0,-7.4,-7.7,7.15E-16,7.31E-02,2.42E-15
281507,2024-01-31 03:00:00 EST,100.55,102.01,6,11,84,-10.2,-7.9,-13,19300,8,0,-7.7,-7.9,1.07E-15,5.82E-02,3.56E-02
281567,2024-01-31 04:00:00 EST,100.5,101.96,8,5,86,-9.8,-7.9,-11,16100,8,0,-7.8,-8,1.28E-15,5.11E-02,
281627,2024-01-31 05:00:00 EST,100.44,101.9,9,7,84,-9.8,-7.6,-11,16100,8,0,-7.6,-7.9,1.54E-15,4.64E-02,
281687,2024-01-31 06:00:00 EST,100.38,101.84,7,7,84,-9.8,-7.5,-11,16100,8,0,-7.4,-7.6,1.81E-15,4.15E-02,
281747,2024-01-31 07:00:00 EST,100.43,101.89,3,10,83,-9.6,-7.2,-12,16100,8,0,-7.2,-7.4,1.79E-15,4.19E-02,
281807,2024-01-31 08:00:00 EST,100.43,101.89,4,9,83,-9.6,-7.2,-12,16100,8,13,-7.2,-7.3,2.62E-15,3.31E-02,
281867,2024-01-31 09:00:00 EST,100.4,101.86,9,5,82,-9.3,-6.7,-9,12900,8,142,-6.7,-7.3,3.14E-15,2.97E-02,
281927,2024-01-31 10:00:00 EST,100.39,101.84,9,3,80,-9,-6,-7,12900,8,315,-6,-6.7,3.04E-15,3.02E-02,
281987,2024-01-31 11:00:00 EST,100.4,101.85,36,3,78,-8.5,-5.2,-7,16100,8,348,-5.2,-6.1,2.75E-15,3.22E-02,
282047,2024-01-31 12:00:00 EST,100.3,101.75,19,9,79,-7.3,-4.2,-8,16100,8,402,-4.2,-5.3,3.98E-15,2.57E-02,
