,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
106487,2023-10-01 15:00:00 EDT,101.04,102.43,33,15,53,15,25,ERROR,24100,7,1637,25.7,24.3,2.04E-15,3.89E-02,2023-10-02 04:00:00 EDT
106547,2023-10-01 16:00:00 EDT,101.01,102.4,0,16,58,15.4,24,ERROR,24100,7,750,25.2,23.4,2.88E-15,3.41E-02,3.05E-15
106607,2023-10-01 17:00:00 EDT,101,102.39,32,13,62,15.6,23.1,ERROR,24100,6,817,24.5,22.9,4.76E-16,9.66E-02,3.01E-02
106667,2023-10-01 18:00:00 EDT,101.04,102.43,32,18,68,15.6,21.5,ERROR,24100,6,380,23.3,21.5,1.03E-15,6.19E-02,
106727,2023-10-01 19:00:00 EDT,101.05,102.44,32,14,70,15,20.7,ERROR,24100,7,38,21.5,20.7,1.43E-15,4.80E-02,
106787,2023-10-01 20:00:00 EDT,101.08,102.47,32,12,69,14.4,20.1,ERROR,24100,7,0,20.7,19.8,1.97E-15,3.96E-02,
106847,2023-10-01 21:00:00 EDT,101.1,102.49,31,11,75,14.1,18.6,ERROR,24100,7,0,20.2,18.6,4.89E-15,2.28E-02,
106907,2023-10-01 22:00:00 EDT,101.09,102.48,32,9,76,13.3,17.6,ERROR,24100,3,0,18.7,17.5,6.99E-15,1.84E-02,
106967,2023-10-01 23:00:00 EDT,101.1,102.49,34,10,78,13,16.8,ERROR,24100,2,0,17.6,16.4,6.66E-15,1.89E-02,
107027,2023-10-02 00:00:00 EDT,101.13,102.52,34,13,78,12.5,16.3,ERROR,24100,1,0,17,16.3,5.36E-15,2.15E-02,
107087,2023-10-02 01:00:00 EDT,101.1,102.49,35,10,79,11.7,15.3,ERROR,24100,3,0,16.3,15.2,5.38E-15,2.15E-02,
107147,2023-10-02 02:00:00 EDT,101.11,102.5,0,11,85,11.4,13.9,ERROR,24100,1,0,15.2,13.8,6.17E-15,1.97E-02,
