47,2023-07-19 17:00:00 EDT,100.3,101.68,23,14,44,13,25.9,ERROR,24100,2,2330,26.2,25.6,4.72E-15
107,2023-07-19 18:00:00 EDT,100.29,101.67,28,14,45,13,25.5,ERROR,24100,4,1655,26.2,25.1,2.53E-02
167,2023-07-19 19:00:00 EDT,100.26,101.63,29,7,49,13.8,25.2,ERROR,24100,3,991,25.7,25,
227,2023-07-19 20:00:00 EDT,100.27,101.64,26,7,58,14.5,23.1,ERROR,24100,3,452,25.2,23.1,
287,2023-07-19 21:00:00 EDT,100.27,101.64,29,8,58,13.7,22.2,ERROR,24100,3,48,23.5,22.1,
347,2023-07-19 22:00:00 EDT,100.32,101.7,10,8,79,14.5,18.2,ERROR,24100,2,0,22.1,18.2,
407,2023-07-19 23:00:00 EDT,100.35,101.73,16,11,81,14.7,17.9,ERROR,24100,2,0,19.8,17.8,
467,2023-07-20 00:00:00 EDT,100.34,101.71,12,8,79,14.9,18.5,ERROR,24100,4,0,19.3,17.5,
527,2023-07-20 01:00:00 EDT,100.35,101.72,16,10,77,14.3,18.4,ERROR,24100,6,0,19.1,18,
587,2023-07-20 02:00:00 EDT,100.34,101.71,17,10,79,14.2,17.8,ERROR,24100,4,0,18.8,16.6,
647,2023-07-20 03:00:00 EDT,100.31,101.68,16,10,88,14.7,16.6,ERROR,24100,1,0,18.3,15.5,
707,2023-07-20 04:00:00 EDT,100.3,101.67,16,8,92,14.7,16,ERROR,24100,1,0,17.4,15.8,
