58847,2023-08-29 13:00:00 EDT,99.87,101.24,12,4,51,13.3,23.9,ERROR,24100,3,2718,24.3,22.4,7.14E-16
58907,2023-08-29 14:00:00 EDT,99.82,101.19,17,8,49,14.1,25.4,ERROR,24100,5,2950,25.4,23.7,7.81E-02
58967,2023-08-29 15:00:00 EDT,99.73,101.1,21,9,55,15.3,24.8,ERROR,24100,4,2676,25.4,24.5,
59027,2023-08-29 16:00:00 EDT,99.67,101.04,15,12,58,16.1,24.8,ERROR,24100,5,2367,26.1,24.5,
59087,2023-08-29 17:00:00 EDT,99.58,100.95,19,9,54,16.3,26.2,ERROR,24100,5,1836,26.2,24.4,
59147,2023-08-29 18:00:00 EDT,99.55,100.92,15,10,58,16.2,25,ERROR,24100,5,1114,26.5,25,
59207,2023-08-29 19:00:00 EDT,99.5,100.87,14,6,72,17.5,22.8,ERROR,24100,5,314,25,22.7,
59267,2023-08-29 20:00:00 EDT,99.47,100.84,13,8,82,16.8,20,ERROR,24100,5,49,22.7,19.6,
59327,2023-08-29 21:00:00 EDT,99.48,100.85,15,8,80,17.3,20.9,ERROR,24100,4,0,21.8,20.1,
59387,2023-08-29 22:00:00 EDT,99.47,100.83,17,8,86,17.8,20.1,ERROR,24100,7,0,21,19.6,
59447,2023-08-29 23:00:00 EDT,99.44,100.8,16,8,92,17.6,18.9,ERROR,24100,7,0,20,18.5,
59507,2023-08-30 00:00:00 EDT,99.43,100.79,17,8,95,17.6,18.4,ERROR,24100,7,0,19.1,17.7,
