224687,2023-12-22 16:00:00 EST,101.73,103.21,9,6,73,-11.1,-7,-10,24100,6,289,-5.5,-7,4.25E-15
224747,2023-12-22 17:00:00 EST,101.72,103.21,6,4,77,-11,-7.6,-10,24100,5,10,-6.9,-8.1,2.50E-02
224807,2023-12-22 18:00:00 EST,101.7,103.19,5,9,77,-11.9,-8.5,-13,24100,5,0,-7.5,-8.8,
224867,2023-12-22 19:00:00 EST,101.7,103.19,6,11,77,-11.9,-8.5,-14,24100,5,0,-8,-8.6,
224927,2023-12-22 20:00:00 EST,101.71,103.2,6,7,75,-12.6,-9,-13,24100,5,0,-8.3,-9,
224987,2023-12-22 21:00:00 EST,101.69,103.18,5,8,79,-12.7,-9.8,-14,24100,5,0,-8.7,-9.8,
225047,2023-12-22 22:00:00 EST,101.68,103.16,4,15,82,-12.6,-10,-17,24100,4,0,-9.8,-10.5,
225107,2023-12-22 23:00:00 EST,101.63,103.11,5,14,79,-12.5,-9.5,-16,24100,4,0,-9.4,-10.2,
225167,2023-12-23 00:00:00 EST,101.63,103.11,4,14,81,-13.2,-10.5,-17,24100,4,0,-9.5,-10.5,
225227,2023-12-23 01:00:00 EST,101.6,103.08,4,14,82,-13.1,-10.7,-17,24100,4,0,-10.5,-10.9,
225287,2023-12-23 02:00:00 EST,101.58,103.06,4,11,82,-12.8,-10.4,-16,24100,5,0,-10,-10.7,
225347,2023-12-23 03:00:00 EST,101.57,103.05,4,13,82,-12.3,-9.8,-16,24100,7,0,-9.8,-10.6,
