255047,2024-01-12 18:00:00 EST,100.18,101.63,6,29,63,-12.2,-6.4,-15,24100,8,0,-6.2,-6.5,1.51E-15
255107,2024-01-12 19:00:00 EST,100.13,101.58,6,23,64,-12,-6.2,-14,24100,8,0,-6.2,-6.4,4.71E-02
255167,2024-01-12 20:00:00 EST,99.91,101.36,6,29,66,-11.7,-6.3,-15,24100,8,0,-6.1,-6.4,
255227,2024-01-12 21:00:00 EST,99.74,101.19,6,32,69,-11.2,-6.3,-15,24100,8,0,-6.2,-6.4,
255287,2024-01-12 22:00:00 EST,99.63,101.07,7,32,72,-10.2,-5.9,-14,24100,8,0,-5.9,-6.3,
255347,2024-01-12 23:00:00 EST,99.52,100.96,7,39,88,-8.5,-6.8,-16,800,8,0,-5.8,-6.8,
255407,2024-01-13 00:00:00 EST,99.1,100.54,7,43,90,-8.1,-6.7,-17,800,ERROR,0,-6.1,-6.9,
255467,2024-01-13 01:00:00 EST,98.78,100.21,7,45,91,-6.9,-5.6,-15,3200,8,0,-5.6,-6.9,
255527,2024-01-13 02:00:00 EST,98.63,100.05,7,36,92,-6.5,-5.4,-14,1600,4,0,-5.3,-6.4,
255587,2024-01-13 03:00:00 EST,98.4,99.82,7,30,93,-6.1,-5.2,-13,600,ERROR,0,-5.1,-5.5,
255647,2024-01-13 04:00:00 EST,98.28,99.7,6,20,92,-5.9,-4.8,-11,3200,6,0,-4.8,-5.2,
255707,2024-01-13 05:00:00 EST,98.12,99.54,5,30,94,-5.8,-5,-13,2400,5,0,-4.8,-5,
