245927,2024-01-06 10:00:00 EST,101,102.46,6,22,59,-15.8,-9.2,-17,24100,8,237,-9.1,-9.5,8.10E-16
245987,2024-01-06 11:00:00 EST,100.96,102.42,7,25,59,-15.8,-9.1,-18,24100,8,275,-8.8,-9.2,5.99E-02
246047,2024-01-06 12:00:00 EST,100.86,102.32,7,19,62,-15,-8.9,-16,24100,8,328,-8.9,-9.2,
246107,2024-01-06 13:00:00 EST,100.68,102.14,7,20,63,-14.6,-8.8,-16,24100,8,247,-8.6,-9.1,
246167,2024-01-06 14:00:00 EST,100.54,101.99,8,24,63,-14.3,-8.4,-17,24100,8,426,-8.4,-9,
246227,2024-01-06 15:00:00 EST,100.47,101.93,5,21,63,-14.4,-8.5,-16,24100,8,383,-8.3,-8.8,
246287,2024-01-06 16:00:00 EST,100.4,101.86,5,25,68,-14.1,-9.1,-18,16100,ERROR,131,-8.5,-9.2,
246347,2024-01-06 17:00:00 EST,100.41,101.87,6,22,78,-13.2,-10,-18,3200,ERROR,9,-8.7,-10,
246407,2024-01-06 18:00:00 EST,100.4,101.87,6,23,77,-13.4,-10.2,-19,24100,8,0,-9.8,-10.2,
246467,2024-01-06 19:00:00 EST,100.3,101.77,6,28,75,-14,-10.4,-20,16100,8,0,-10.1,-10.4,
246527,2024-01-06 20:00:00 EST,100.21,101.67,6,27,82,-13.2,-10.6,-20,2400,5,0,-10.2,-10.6,
246587,2024-01-06 21:00:00 EST,100.11,101.57,5,27,80,-13.7,-10.8,-20,8100,8,0,-10.4,-10.8,
