233807,2023-12-29 00:00:00 EST,99.29,100.7,6,10,100,2.6,2.6,ERROR,12900,8,0,2.8,2.6,2.68E-16
233867,2023-12-29 01:00:00 EST,99.21,100.62,6,5,100,2.4,2.4,ERROR,9700,8,0,2.6,2.4,1.30E-01
233927,2023-12-29 02:00:00 EST,99.18,100.59,3,8,100,2.2,2.2,ERROR,9700,8,0,2.4,2.2,
233987,2023-12-29 03:00:00 EST,99.17,100.58,0,7,100,2.3,2.4,ERROR,12900,8,0,2.4,2.2,
234047,2023-12-29 04:00:00 EST,99.13,100.53,34,5,100,2.5,2.6,ERROR,12900,8,0,2.6,2.4,
234107,2023-12-29 05:00:00 EST,99.08,100.48,36,3,100,2.4,2.4,ERROR,12900,8,0,2.6,2.3,
234167,2023-12-29 06:00:00 EST,99.07,100.48,36,1,100,2.3,2.3,ERROR,6400,8,0,2.5,2.2,
234227,2023-12-29 07:00:00 EST,99.06,100.47,19,3,99,2.2,2.3,ERROR,1200,ERROR,0,2.4,2.2,
234287,2023-12-29 08:00:00 EST,99.04,100.45,18,6,100,2.4,2.4,ERROR,800,ERROR,0,2.4,2.2,
234347,2023-12-29 09:00:00 EST,99.03,100.43,21,4,100,2.8,2.8,ERROR,800,ERROR,62,2.8,2.4,
234407,2023-12-29 10:00:00 EST,99.04,100.44,22,5,100,3.2,3.2,ERROR,800,ERROR,176,3.2,2.5,
234467,2023-12-29 11:00:00 EST,98.99,100.39,24,5,100,3.6,3.6,ERROR,1200,2,250,3.8,3,
