84887,2023-09-16 15:00:00 EDT,100.03,101.41,29,22,40,8.6,22.5,ERROR,24100,4,2570,22.7,21.7,5.05E-15
84947,2023-09-16 16:00:00 EDT,99.97,101.35,28,20,42,9.2,22.7,ERROR,24100,2,2145,22.9,21.8,2.54E-02
85007,2023-09-16 17:00:00 EDT,99.96,101.34,27,15,45,10.2,22.6,ERROR,24100,1,1578,22.9,22.3,
85067,2023-09-16 18:00:00 EDT,99.93,101.31,27,17,48,10.1,21.3,ERROR,24100,1,923,22.8,21.3,
85127,2023-09-16 19:00:00 EDT,99.92,101.31,26,12,59,9.9,17.9,ERROR,24100,1,257,21.3,17.9,
85187,2023-09-16 20:00:00 EDT,99.92,101.31,27,14,62,9.6,16.8,ERROR,24100,1,0,17.8,16.4,
85247,2023-09-16 21:00:00 EDT,99.92,101.31,27,12,70,9.1,14.4,ERROR,24100,1,0,16.8,14.1,
85307,2023-09-16 22:00:00 EDT,99.89,101.27,26,12,76,9.2,13.3,ERROR,24100,1,0,14.6,13.3,
85367,2023-09-16 23:00:00 EDT,99.89,101.27,24,9,78,8.8,12.5,ERROR,24100,1,0,13.4,12.3,
85427,2023-09-17 00:00:00 EDT,99.87,101.25,25,8,88,9.5,11.4,ERROR,24100,3,0,12.7,10.7,
85487,2023-09-17 01:00:00 EDT,99.85,101.23,24,7,84,9.6,12.1,ERROR,24100,3,0,12.2,10,
85547,2023-09-17 02:00:00 EDT,99.84,101.22,24,6,91,9.8,11.2,ERROR,24100,1,0,12.1,10.3,
