237047,2023-12-31 06:00:00 EST,100.02,101.46,30,11,71,-10.1,-5.6,-10,24100,8,0,-5.2,-5.6,1.53E-15
237107,2023-12-31 07:00:00 EST,100.11,101.56,29,15,74,-9.8,-5.9,-12,24100,7,0,-5.6,-6,4.88E-02
237167,2023-12-31 08:00:00 EST,100.15,101.6,26,13,75,-10.1,-6.4,-12,24100,7,2,-5.9,-6.6,
237227,2023-12-31 09:00:00 EST,100.2,101.65,29,14,72,-10.8,-6.5,-12,24100,7,106,-6,-6.7,
237287,2023-12-31 10:00:00 EST,100.23,101.68,33,21,70,-10.6,-6,-13,24100,7,502,-5.8,-6.5,
237347,2023-12-31 11:00:00 EST,100.23,101.68,29,17,70,-10.4,-5.8,-12,24100,8,486,-5.6,-6.1,
237407,2023-12-31 12:00:00 EST,100.21,101.66,29,13,68,-10.6,-5.6,-11,24100,8,463,-5.5,-6,
237467,2023-12-31 13:00:00 EST,100.18,101.63,29,10,69,-10.1,-5.3,-10,24100,8,377,-5.3,-5.9,
237527,2023-12-31 14:00:00 EST,100.19,101.64,29,13,69,-10.3,-5.4,-11,24100,8,347,-5.2,-5.7,
237587,2023-12-31 15:00:00 EST,100.21,101.66,33,12,69,-10.3,-5.5,-10,24100,7,228,-5.2,-5.6,
237647,2023-12-31 16:00:00 EST,100.28,101.73,33,8,69,-10.3,-5.5,-9,24100,7,88,-5.3,-5.6,
237707,2023-12-31 17:00:00 EST,100.31,101.76,35,10,70,-10.2,-5.6,-10,24100,7,3,-5.5,-5.7,
