79607,2023-09-12 23:00:00 EDT,99.86,101.23,18,17,88,17.3,19.2,ERROR,24100,8,0,19.2,18.9,8.81E-16
79667,2023-09-13 00:00:00 EDT,99.86,101.23,19,10,92,17.5,18.8,ERROR,24100,8,0,19.3,18.8,7.02E-02
79727,2023-09-13 01:00:00 EDT,99.88,101.25,18,11,97,17.8,18.4,ERROR,24100,8,0,19,18.3,
79787,2023-09-13 02:00:00 EDT,99.85,101.22,19,7,100,17.9,17.9,ERROR,24100,8,0,18.4,17.9,
79847,2023-09-13 03:00:00 EDT,99.86,101.23,18,6,100,18,18,ERROR,24100,8,0,18,17.9,
79907,2023-09-13 04:00:00 EDT,99.86,101.23,18,9,100,17.7,17.7,ERROR,24100,8,0,18,17.6,
79967,2023-09-13 05:00:00 EDT,99.87,101.24,21,7,100,17.1,17.1,ERROR,24100,8,0,17.6,17.1,
80027,2023-09-13 06:00:00 EDT,99.87,101.24,23,8,100,16.3,16.3,ERROR,24100,8,0,17.1,16.3,
80087,2023-09-13 07:00:00 EDT,99.91,101.29,23,8,100,14.6,14.6,ERROR,24100,8,5,16.2,14.6,
80147,2023-09-13 08:00:00 EDT,99.96,101.34,22,8,100,15.4,15.4,ERROR,24100,3,227,15.4,14.6,
80207,2023-09-13 09:00:00 EDT,99.94,101.32,23,10,88,15.3,17.3,ERROR,24100,1,873,17.3,15.4,
80267,2023-09-13 10:00:00 EDT,99.95,101.32,24,13,75,14.4,18.9,ERROR,24100,1,1622,19.1,17.3,
