215087,2023-12-16 00:00:00 EST,101.26,102.69,28,16,79,0.9,4.2,ERROR,24100,6,0,4.5,3.6,1.03E-16
215147,2023-12-16 01:00:00 EST,101.31,102.74,28,17,84,1.2,3.6,ERROR,24100,5,0,4.1,3.4,2.35E-01
215207,2023-12-16 02:00:00 EST,101.41,102.84,29,12,88,1.1,2.9,ERROR,24100,5,0,3.7,2.8,
215267,2023-12-16 03:00:00 EST,101.56,102.99,29,14,92,0.9,2.1,ERROR,24100,5,0,3.7,1.9,
215327,2023-12-16 04:00:00 EST,101.65,103.09,32,13,94,-0.9,0,-4,24100,4,0,2.2,0,
215387,2023-12-16 05:00:00 EST,101.75,103.19,35,13,73,-3.3,1.1,ERROR,24100,5,0,2,0,
215447,2023-12-16 06:00:00 EST,101.86,103.31,0,10,71,-4.5,0.2,ERROR,24100,5,0,1.2,0.2,
215507,2023-12-16 07:00:00 EST,101.94,103.39,35,8,72,-4.5,-0.1,-3,24100,3,0,0.7,-1,
215567,2023-12-16 08:00:00 EST,101.94,103.39,35,10,74,-5.2,-1.2,-5,24100,3,23,0,-1.4,
215627,2023-12-16 09:00:00 EST,101.98,103.43,34,10,70,-4.4,0.5,ERROR,24100,4,366,0.5,-1.3,
215687,2023-12-16 10:00:00 EST,102.05,103.5,1,14,62,-4.6,1.9,ERROR,24100,5,785,1.9,0.5,
215747,2023-12-16 11:00:00 EST,102.05,103.5,3,13,60,-4.7,2.3,ERROR,24100,6,1279,2.4,1.8,
