,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
221867,2023-12-20 17:00:00 EST,101.68,103.15,30,9,85,-3.9,-1.7,-5,24100,8,5,-1.2,-1.7,2.48E-16,1.36E-01,2023-12-21 10:00:00 EST
221927,2023-12-20 18:00:00 EST,101.75,103.22,32,11,82,-3.8,-1.1,-5,24100,8,0,-1.1,-1.9,4.14E-16,1.08E-01,7.33E-15
221987,2023-12-20 19:00:00 EST,101.81,103.28,33,10,83,-3.8,-1.3,-5,24100,8,0,-1,-1.5,2.17E-16,2.09E-01,1.77E-02
222047,2023-12-20 20:00:00 EST,101.86,103.33,1,17,80,-4.3,-1.2,-6,24100,8,0,-0.9,-1.3,2.25E-16,1.89E-01,
222107,2023-12-20 21:00:00 EST,101.92,103.39,1,25,75,-5.5,-1.6,-8,24100,7,0,-1.2,-1.6,3.82E-16,1.06E-01,
222167,2023-12-20 22:00:00 EST,101.98,103.45,0,19,75,-6.4,-2.7,-8,24100,7,0,-1.7,-2.7,3.92E-16,1.04E-01,
222227,2023-12-20 23:00:00 EST,102.02,103.49,34,17,72,-7.9,-3.5,-9,24100,4,0,-2.6,-3.5,3.37E-16,1.26E-01,
222287,2023-12-21 00:00:00 EST,102.05,103.52,35,13,77,-8.6,-5.1,-10,24100,2,0,-3.5,-5.1,1.67E-16,1.72E-01,
222347,2023-12-21 01:00:00 EST,102.1,103.57,35,20,72,-10,-5.7,-12,24100,2,0,-5,-5.8,1.59E-16,1.80E-01,
222407,2023-12-21 02:00:00 EST,102.18,103.65,1,19,68,-12,-7.1,-14,24100,1,0,-5.7,-7.1,2.68E-16,1.31E-01,
222467,2023-12-21 03:00:00 EST,102.25,103.73,1,17,68,-13.1,-8.2,-15,24100,0,0,-7.2,-8.2,3.32E-16,1.15E-01,
222527,2023-12-21 04:00:00 EST,102.29,103.77,1,21,69,-13.5,-8.7,-16,24100,0,0,-8.2,-8.7,6.08E-16,1.04E-01,
