,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
50687,2023-08-23 21:00:00 EDT,100.37,101.75,36,1,87,16.2,18.4,ERROR,24100,8,0,20.6,18.3,1.36E-15,4.94E-02,2023-08-24 14:00:00 EDT
50747,2023-08-23 22:00:00 EDT,100.37,101.74,4,4,75,15.6,20,ERROR,24100,8,0,20.8,18.3,9.78E-16,6.08E-02,3.56E-16
50807,2023-08-23 23:00:00 EDT,100.34,101.71,8,4,81,15.4,18.7,ERROR,24100,8,0,19.9,17.7,1.36E-15,4.92E-02,1.11E-01
50867,2023-08-24 00:00:00 EDT,100.32,101.69,9,10,87,14.6,16.7,ERROR,24100,6,0,18.8,16.7,2.50E-15,3.39E-02,
50927,2023-08-24 01:00:00 EDT,100.3,101.67,10,12,89,13.6,15.3,ERROR,24100,2,0,16.7,15.2,2.93E-15,3.15E-02,
50987,2023-08-24 02:00:00 EDT,100.26,101.63,9,10,92,14.1,15.4,ERROR,24100,0,0,15.9,14.9,1.99E-15,3.95E-02,
51047,2023-08-24 03:00:00 EDT,100.25,101.63,9,7,97,13.3,13.7,ERROR,24100,0,0,15.8,13.3,2.23E-15,3.67E-02,
51107,2023-08-24 04:00:00 EDT,100.23,101.61,5,8,97,13.2,13.7,ERROR,24100,0,0,15,13.6,2.52E-15,3.39E-02,
51167,2023-08-24 05:00:00 EDT,100.2,101.58,4,10,98,13.1,13.4,ERROR,24100,3,0,13.8,13,1.62E-15,4.47E-02,
51227,2023-08-24 06:00:00 EDT,100.2,101.58,4,12,98,13.1,13.4,ERROR,24100,5,0,13.6,13.1,8.17E-16,7.37E-02,
51287,2023-08-24 07:00:00 EDT,100.25,101.63,9,7,98,13.5,13.8,ERROR,24100,3,56,13.8,13.2,3.08E-15,3.12E-02,
51347,2023-08-24 08:00:00 EDT,100.25,101.63,11,14,88,14.2,16.3,ERROR,24100,2,530,16.3,13.8,7.39E-15,1.79E-02,
