,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2-R0 Future
235967,2023-12-30 12:00:00 EST,99.19,100.61,31,20,82,-6.2,-3.5,-10,24100,8,285,-3.2,-3.5,2.56E-15,3.33E-02,2023-12-31 17:00:00 EST
236027,2023-12-30 13:00:00 EST,99.15,100.57,32,18,83,-6,-3.6,-9,24100,8,225,-3.3,-3.6,2.13E-15,3.72E-02,5.26E-16
236087,2023-12-30 14:00:00 EST,99.18,100.6,33,17,79,-7,-3.9,-10,24100,8,201,-3.5,-4,1.52E-15,4.59E-02,9.03E-02
236147,2023-12-30 15:00:00 EST,99.23,100.65,34,21,80,-7.1,-4.2,-11,24100,8,119,-3.8,-4.3,9.32E-16,6.15E-02,
236207,2023-12-30 16:00:00 EST,99.3,100.72,33,12,81,-6.8,-4,-9,24100,8,42,-4,-4.3,8.62E-16,6.45E-02,
236267,2023-12-30 17:00:00 EST,99.38,100.81,31,19,78,-7.6,-4.3,-10,24100,8,1,-4,-4.3,7.86E-16,6.81E-02,
236327,2023-12-30 18:00:00 EST,99.48,100.91,32,18,77,-7.9,-4.5,-11,24100,8,0,-4.1,-4.5,6.39E-16,7.69E-02,
236387,2023-12-30 19:00:00 EST,99.54,100.97,33,18,73,-8.7,-4.5,-11,24100,8,0,-4.4,-4.5,6.00E-16,7.97E-02,
236447,2023-12-30 20:00:00 EST,99.59,101.02,31,14,72,-8.7,-4.4,-10,24100,8,0,-4.4,-4.7,5.63E-16,8.30E-02,
236507,2023-12-30 21:00:00 EST,99.64,101.07,32,13,72,-8.7,-4.4,-9,24100,8,0,-4.4,-4.5,6.02E-16,7.97E-02,
236567,2023-12-30 22:00:00 EST,99.67,101.1,31,18,72,-8.8,-4.5,-11,24100,8,0,-4.4,-4.5,6.34E-16,7.73E-02,
236627,2023-12-30 23:00:00 EST,99.74,101.18,33,15,68,-9.8,-4.8,-10,24100,8,0,-4.5,-4.9,5.60E-16,8.30E-02,
236687,2023-12-31 00:00:00 EST,99.76,101.2,31,15,70,-9.4,-4.7,-10,24100,8,0,-4.7,-4.8,6.88E-16,7.42E-02,
236747,2023-12-31 01:00:00 EST,99.8,101.24,32,14,69,-9.7,-4.9,-10,24100,8,0,-4.7,-4.9,5.98E-16,7.98E-02,
236807,2023-12-31 02:00:00 EST,99.86,101.3,32,11,71,-9.6,-5,-10,24100,8,0,-4.9,-5,5.67E-16,8.27E-02,
236867,2023-12-31 03:00:00 EST,99.93,101.37,31,10,72,-9.1,-4.8,-9,24100,8,0,-4.8,-5,6.69E-16,7.47E-02,
236927,2023-12-31 04:00:00 EST,99.97,101.41,29,16,71,-9.4,-4.9,-11,24100,8,0,-4.8,-4.9,7.72E-16,6.85E-02,
236987,2023-12-31 05:00:00 EST,99.97,101.41,33,13,73,-9.3,-5.2,-10,24100,8,0,-4.9,-5.2,8.48E-16,6.53E-02,
237047,2023-12-31 06:00:00 EST,100.02,101.46,30,11,71,-10.1,-5.6,-10,24100,8,0,-5.2,-5.6,1.10E-15,5.54E-02,
237107,2023-12-31 07:00:00 EST,100.11,101.56,29,15,74,-9.8,-5.9,-12,24100,7,0,-5.6,-6,1.23E-15,5.23E-02,
237167,2023-12-31 08:00:00 EST,100.15,101.6,26,13,75,-10.1,-6.4,-12,24100,7,2,-5.9,-6.6,1.50E-15,4.63E-02,
237227,2023-12-31 09:00:00 EST,100.2,101.65,29,14,72,-10.8,-6.5,-12,24100,7,106,-6,-6.7,2.34E-15,3.53E-02,
237287,2023-12-31 10:00:00 EST,100.23,101.68,33,21,70,-10.6,-6,-13,24100,7,502,-5.8,-6.5,2.92E-15,3.11E-02,
237347,2023-12-31 11:00:00 EST,100.23,101.68,29,17,70,-10.4,-5.8,-12,24100,8,486,-5.6,-6.1,3.82E-15,2.63E-02,
