,date_time_local,pressure_station,pressure_sea,wind_dir_10s,wind_speed,relative_humidity,dew_point,temperature,windchill,visibility,cloud_cover_8,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,CN2,R0,CN2 Future,R0 Future
279827,2024-01-29 23:00:00 EST,100.67,102.12,5,5,89,-8,-6.5,-9,24100,1,0,-5.6,-7.7,2.47E-15,3.46E-02,1.19E-15,5.35E-02
279887,2024-01-30 00:00:00 EST,100.7,102.15,7,8,86,-8.2,-6.2,-10,24100,1,0,-5.8,-7.9,1.94E-15,4.55E-02,,
279947,2024-01-30 01:00:00 EST,100.73,102.18,7,6,91,-8.3,-7,-10,24100,7,0,-6.3,-7.9,4.69E-16,9.39E-02,,
280007,2024-01-30 02:00:00 EST,100.75,102.2,6,11,85,-7.2,-5,-10,24100,8,0,-4.8,-6.9,1.13E-16,2.35E-01,,
280067,2024-01-30 03:00:00 EST,100.73,102.18,7,12,86,-6.8,-4.7,-9,24100,8,0,-4.7,-5,7.82E-17,2.75E-01,,
280127,2024-01-30 04:00:00 EST,100.77,102.22,9,13,87,-6,-4.2,-9,24100,8,0,-4.2,-4.8,4.67E-17,3.71E-01,,
280187,2024-01-30 05:00:00 EST,100.79,102.24,9,18,87,-5.9,-4,-10,24100,8,0,-4,-4.2,2.43E-16,2.17E-01,,
280247,2024-01-30 06:00:00 EST,100.83,102.28,9,17,86,-6.1,-4.1,-10,24100,8,0,-4,-4.1,6.22E-16,7.95E-02,,
280307,2024-01-30 07:00:00 EST,100.87,102.33,7,22,83,-7.3,-4.8,-12,24100,8,0,-4.1,-4.8,1.64E-15,4.74E-02,,
280367,2024-01-30 08:00:00 EST,100.9,102.36,8,18,82,-8.5,-5.8,-12,19300,8,34,-4.8,-5.8,3.98E-15,2.59E-02,,
280427,2024-01-30 09:00:00 EST,100.95,102.41,7,24,77,-10.3,-7,-15,24100,7,256,-5.8,-7,5.79E-15,2.05E-02,,
280487,2024-01-30 10:00:00 EST,100.93,102.39,9,22,73,-11.6,-7.5,-15,24100,7,660,-7,-7.7,9.72E-15,1.50E-02,,
